Latitude, Longitude
37.7954708998, -122.4042198990
37.7891244021, -122.4022528005
37.7889719018, -122.4034640973
37.7849512984, -122.3958098997
37.7584707987, -122.4209555981
37.7569543001, -122.4194713027
37.7755984020, -122.4106811003
37.7787626990, -122.4116257017
37.7819495992, -122.4524802991
37.7690258867, -122.4534163234
37.7141573977, -122.4432373007
37.7137959980, -122.4436230024
37.7996439979, -122.4083368999
37.7631497000, -122.4849181024
37.7823105016, -122.4800026023
37.7321366974, -122.3914861006
37.7314503983, -122.3917236996
37.7352169015, -122.3903952015
37.7791963004, -122.4048932006
37.7390915983, -122.4162564014
37.7446658992, -122.4527300016
37.7763925985, -122.4053499975
37.7764622019, -122.4049345010
37.7651857984, -122.4218037014
37.7536960979, -122.4910504983
37.7786576011, -122.3926670996
37.7725257025, -122.4195441024
37.7843957012, -122.4200653003
37.7797867999, -122.3948299994
37.7813181010, -122.4606868976
37.7815248993, -122.4587919002
37.7232714993, -122.4536643994
37.7718482994, -122.4191719011
37.7967538004, -122.4035103989
37.7774775018, -122.3959018995
37.7773869996, -122.3960168992
37.7776320026, -122.3959512019
37.7648028013, -122.4226437022
37.7797548984, -122.4010934995
37.7856604018, -122.3991460984
37.7891012010, -122.4061723013
37.7765344986, -122.3973652010
37.7535006990, -122.4209016019
37.7796406978, -122.4009118021
37.7792734028, -122.4013785009
37.7818879978, -122.3985470996
37.7768552014, -122.4213742015
37.7845298004, -122.4209858009
37.7973835998, -122.4033057016
37.7637313985, -122.4186392983
37.7797728066, -122.3976389151
37.7728927013, -122.4210704022
37.7730078016, -122.4209244006
37.7488361028, -122.4160239992
37.7819306002, -122.4239122977
37.7971274992, -122.4346980021
37.7980980006, -122.4270674975
37.7764641018, -122.4182198008
37.7974691008, -122.4338134990
37.7978440010, -122.4290648994
37.7853020978, -122.4229038988
37.7825521015, -122.4239322019
37.7826069024, -122.4226559007
37.7846899094, -122.4136785364
37.7846445074, -122.4140350355
37.7845985075, -122.4153867348
37.7861782973, -122.4148175974
37.7848889985, -122.3988064022
37.8058232029, -122.4170780182
37.8064301991, -122.4172017013
37.7790444986, -122.3941221979
37.8069277992, -122.4113366992
37.8071251986, -122.4097501000
37.7742349011, -122.4015571025
37.7641706996, -122.4205487014
37.7640736987, -122.4205397998
37.7757011977, -122.3975160976
37.7736468938, -122.3959486258
37.7737543945, -122.3958123472
37.7736840033, -122.3959015810
37.7736097843, -122.3959956651
37.7738491100, -122.3956922793
37.7738836658, -122.3956484699
37.7747335405, -122.3945710544
37.7745937639, -122.3947482591
37.7744582117, -122.3949201048
37.7744212475, -122.3949669653
37.7743907542, -122.3950056226
37.7743569081, -122.3950485268
37.7743197148, -122.3950925988
37.7805079006, -122.4175262989
37.7806441010, -122.4202001986
37.7650743973, -122.4204268006
37.7520687011, -122.4175912027
37.7890999996, -122.4349270013
37.8015805026, -122.4005266984
37.7798603986, -122.4776570999
37.7252213982, -122.4349813999
37.7250887015, -122.4350775012
37.8000525990, -122.4390315020
37.8001665984, -122.4391353985
37.7316474010, -122.4724751001
37.7319201984, -122.4747062006
37.7667050016, -122.4185303000
37.7666862988, -122.4203907025
37.7650887024, -122.4179097989
37.7634042025, -122.4189292003
37.7634214022, -122.4206507986
37.7603013002, -122.4188890007
37.7798688979, -122.4865538978
37.7941393004, -122.4218654984
37.7938054995, -122.4236446020
37.7908499007, -122.4208208003
37.7879565013, -122.4225364027
37.7879046005, -122.4229450987
37.7891174004, -122.4205461980
37.7890995973, -122.4206854996
37.7766698998, -122.4391066988
37.7700631999, -122.4460097996
37.7699275025, -122.4470736028
37.7757382010, -122.4953174011
37.8075771005, -122.4213771016
37.8001960021, -122.3987538979
37.7800892022, -122.3895979986
37.7847130009, -122.3885882978
37.7862234981, -122.4402490013
37.7878753980, -122.4412753989
37.7754866992, -122.4973682014
37.8005259977, -122.3990474992
37.8010724028, -122.3995415007
37.7868476984, -122.4494193007
37.7756857973, -122.4964644981
37.8033081022, -122.4015255027
37.7902576969, -122.3889947978
37.7864066985, -122.4524684024
37.8055610013, -122.4059900005
37.7861881991, -122.4103127995
37.7860891026, -122.4102491976
37.7541492012, -122.4892874991
37.7503981990, -122.4338946023
37.7652555023, -122.4315611978
37.8025868599, -122.4029799772
37.8003828012, -122.4015505982
37.7542589986, -122.4778153000
37.7541006979, -122.4779117980
37.7540938024, -122.4780679976
37.7542516001, -122.4779831001
37.7540810005, -122.4783583020
37.7646855895, -122.4322819155
37.7637820867, -122.4338654389
37.7635664985, -122.4341381022
37.7814909023, -122.3967554008
37.7592154023, -122.4353049972
37.7540287980, -122.4791070016
37.7425255020, -122.4857443010
37.7431855992, -122.4766978023
37.7426501018, -122.4809687005
37.7630544984, -122.4343443026
37.7972198007, -122.4105043986
37.7312603024, -122.4725033024
37.7704225601, -122.4254688283
37.7702195001, -122.4252697022
37.7702730940, -122.4256579575
37.7854926017, -122.4189600010
37.7849590992, -122.4190838018
37.7316285976, -122.4729021022
37.7316754021, -122.4730061998
37.7853230023, -122.4171910004
37.7853052997, -122.4173274019
37.7852619988, -122.4176612978
37.7482780021, -122.4177396015
37.7433071983, -122.4745692012
37.7526831002, -122.4130512008
37.7927525983, -122.3962015023
37.7918118023, -122.4037332010
37.7900184997, -122.4027681981
37.7828120020, -122.4022994989
37.7914689993, -122.3996809979
37.7895678998, -122.4340407995
37.7996524022, -122.4366710016
37.7992240981, -122.4400451982
37.7526583009, -122.4104900991
37.7850360003, -122.4287689009
37.7980918986, -122.4305668974
37.7882599988, -122.4232175999
37.7888468997, -122.4231245999
37.7210091007, -122.4803653990
37.7210120008, -122.4804525988
37.7212506001, -122.4805970022
37.7848522020, -122.4199752004
37.7799518050, -122.3984116148
37.7219406989, -122.4809450020
37.7683551022, -122.4069508013
37.7727474988, -122.4189581012
37.7806885977, -122.4205351004
37.7881674011, -122.4467138012
37.7880976972, -122.4481077005
37.7622501989, -122.4660344010
37.7879892019, -122.4489602016
37.7275769979, -122.4034836997
37.7113648996, -122.4043141005
37.7874204003, -122.4534254984
37.7634646975, -122.4809515008
37.7633269996, -122.4809536019
37.7633187015, -122.4811423009
37.7894993023, -122.4209136997
37.7822974984, -122.4497493019
